Course,Section,Year,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
BIOL 308,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,Fieldhouse,30-32,AAA,ZZZ
BIOL 309,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,GYM,Fieldhouse,24-25,AAA,ZZZ
BIOL 316,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,STBIO,S3/4,,AAA,ZZZ
BIOL 414,1,F2023,ONLINE - TIMED EXAM - 72 HOURS,15-Dec-2023 at 2:00 PM,18-Dec-2023 at 2:00 PM,ONLINE,EXAM,,AAA,ZZZ
BIOL 575,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,STBIO,S3/4,,AAA,ZZZ
BIOL 588,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,STBIO,S3/4,,AAA,ZZZ
BMDE 503,1,F2023,ONLINE - TIMED EXAM - 3 HOURS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,ONLINE,EXAM,,AAA,ZZZ
BMDE 519,1,F2023,ONLINE - TAKE-HOME - 72 HOURS,18-Dec-2023 at 2:00 PM,21-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
BMDE 558,1,F2023,ONLINE - TAKE-HOME - 8 DAYS,7-Dec-2023 at 9:00 AM,15-Dec-2023 at 11:59 PM,TAKE,HOME,,AAA,ZZZ
BREE 210,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 216,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 252,1,F2023,IN-PERSON - LAB EXAM - MAC CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,MS2,028/29,,AAA,ZZZ
BREE 312,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 319,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 322,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 324,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 325,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
